conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000007837712634e+18,@ARSIPAJA @kompascom klean jadi tim media istana aja jing jilat presiden mulu lah taii!,arsipaja kompascom klean tim media istana jing jilat presiden mulu taii
2.000007837712634e+18,@ARSIPAJA Sama tim redaksinya @kompascom disebut ga kalau perusahaannya Prabowo turut andil dalam terciptanya malapetaka di Aceh?,arsipaja tim redaksinya kompascom perusahaannya prabowo andil terciptanya malapetaka aceh
2.000007837712634e+18,@ARSIPAJA @prabowo omon2 macan ompong memble mau aj dikibulin sama TERMUL,arsipaja prabowo omon macan ompong memble dikibulin termul
2.000007837712634e+18,@ARSIPAJA kompas salah satu kumpulan berita buzzer,arsipaja kompas salah kumpulan berita buzzer
2.000007837712634e+18,@ARSIPAJA Jaya Suprana mending edit dah pake bahasa yg netral Buruan jaya Suprana keburu nama lu dicari terus dirujak netizen,arsipaja jaya suprana mending edit dah pake bahasa netral buruan jaya suprana keburu nama dicari dirujak netizen
2.000007837712634e+18,@ARSIPAJA hah kompas dikasih rels begini dapat berapa ratus juta mereka ya,arsipaja hah kompas dikasih rels ratus juta
2.000007837712634e+18,@ARSIPAJA Kompas loh.... Bikin berita atau siaran pers kehumasan instansi? Wkwkwkwk,arsipaja kompas bikin berita siaran pers kehumasan instansi wkwkwkwk
2.000007837712634e+18,@ARSIPAJA Sy pengritik ... Kompas sdh jauh dibawah standar.. dulu langganan harian Kompas skrg baca onlinenya jg dah males,arsipaja pengritik kompas sdh dibawah standar langganan harian kompas skrg baca onlinenya dah males
2.000007837712634e+18,@ARSIPAJA Bentar bentar itu yang nulis emang Jaya Suprana???,arsipaja bentar bentar nulis emang jaya suprana
2.000007837712634e+18,@ARSIPAJA Media mainstream kok narasinya gini bgt mending jd buzzer aja anjir,arsipaja media mainstream narasinya gini bgt mending buzzer anjir
2.000007837712634e+18,@ARSIPAJA #nooticing https://t.co/vnAELwWdzH,arsipaja nooticing
